barber_pole_exact,checkerboard_exact,config_sha256,duration_seconds,effort,exit_code,finished_at,has_response,horizontal_disagreement,job_id,leading_indent_rows,line_count,model,narrow_conventional_only,no_prose_or_fences,opening_exactly_one_heart,opening_family,opening_glyph,periodic_fit,periodic_period,periodic_slope,provider,sample_index,started_at,timed_out,vertical_disagreement,wall_begins_next_line,wall_distinct_families,wall_distinct_glyphs,wall_dominant_family,wall_dominant_glyph,wall_family_entropy_bits,wall_glyph_entropy_bits,wall_matches_opening_fraction,wall_max_columns,wall_median_columns,wall_min_columns,wall_occupancy,wall_only_hearts_and_linebreaks,wall_parseable,wall_rectangular,wall_rows,wall_total_hearts
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,8.932,xhigh,0,2026-09-15T23:46:13.045689+00:00,True,0,codex-gpt-6-astra-xhigh-010,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,10,2026-09-15T23:46:04.114187+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,11.906,ultra,0,2026-09-15T23:46:15.582819+00:00,True,0,codex-gpt-6-astra-ultra-048,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,48,2026-09-15T23:46:03.677156+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,8.771,medium,0,2026-09-15T23:46:15.777936+00:00,True,0,codex-gpt-6-astra-medium-049,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,49,2026-09-15T23:46:07.006663+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,8.999,low,0,2026-09-15T23:46:18.501453+00:00,True,0,codex-gpt-6-astra-low-003,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,3,2026-09-15T23:46:09.502706+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,7.05,medium,0,2026-09-15T23:46:19.512805+00:00,True,0,codex-gpt-6-astra-medium-020,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,20,2026-09-15T23:46:12.463219+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,13.524,max,0,2026-09-15T23:46:21.126187+00:00,True,0,codex-gpt-6-astra-max-050,0,6,gpt-6-astra,True,True,True,red,❤️,,,,codex,50,2026-09-15T23:46:07.601722+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,5,50
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,7.063,medium,0,2026-09-15T23:46:22.645616+00:00,True,0,codex-gpt-6-astra-medium-034,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,34,2026-09-15T23:46:15.582859+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.437,high,0,2026-09-15T23:46:24.938018+00:00,True,0,codex-gpt-6-astra-high-037,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,37,2026-09-15T23:46:18.501492+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,12.284,ultra,0,2026-09-15T23:46:25.329681+00:00,True,0,codex-gpt-6-astra-ultra-021,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,21,2026-09-15T23:46:13.045726+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,10.34,xhigh,0,2026-09-15T23:46:26.117907+00:00,True,0,codex-gpt-6-astra-xhigh-014,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,14,2026-09-15T23:46:15.777976+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,6,6.0,6,1.0,True,True,True,4,24
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,7.388,low,0,2026-09-15T23:46:28.514304+00:00,True,0,codex-gpt-6-astra-low-040,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,40,2026-09-15T23:46:21.126224+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,9.221,ultra,0,2026-09-15T23:46:28.733814+00:00,True,0,codex-gpt-6-astra-ultra-025,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,25,2026-09-15T23:46:19.512847+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.99,low,0,2026-09-15T23:46:31.928391+00:00,True,0,codex-gpt-6-astra-low-045,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,45,2026-09-15T23:46:24.938053+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.575,high,0,2026-09-15T23:46:32.693001+00:00,True,0,codex-gpt-6-astra-high-046,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,46,2026-09-15T23:46:26.117950+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,12,12,12,1.0,True,True,True,1,12
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,11.537,ultra,0,2026-09-15T23:46:34.182320+00:00,True,0,codex-gpt-6-astra-ultra-033,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,33,2026-09-15T23:46:22.645653+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,5.719,low,0,2026-09-15T23:46:34.233272+00:00,True,0,codex-gpt-6-astra-low-016,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,16,2026-09-15T23:46:28.514345+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,1,10
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,5.992,medium,0,2026-09-15T23:46:34.725421+00:00,True,0,codex-gpt-6-astra-medium-037,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,37,2026-09-15T23:46:28.733861+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,12.001,max,0,2026-09-15T23:46:37.330991+00:00,True,0,codex-gpt-6-astra-max-004,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,4,2026-09-15T23:46:25.329721+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,5.779,medium,0,2026-09-15T23:46:37.707527+00:00,True,0,codex-gpt-6-astra-medium-015,0,4,gpt-6-astra,True,True,True,red,❤️,,,,codex,15,2026-09-15T23:46:31.928429+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8,8,1.0,True,True,True,3,24
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.822,medium,0,2026-09-15T23:46:39.514619+00:00,True,0,codex-gpt-6-astra-medium-040,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,40,2026-09-15T23:46:32.693037+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.216,high,0,2026-09-15T23:46:40.398121+00:00,True,0,codex-gpt-6-astra-high-001,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,1,2026-09-15T23:46:34.182362+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,12,12,12,1.0,True,True,True,1,12
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,8.661,xhigh,0,2026-09-15T23:46:42.894287+00:00,True,0,codex-gpt-6-astra-xhigh-017,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,17,2026-09-15T23:46:34.233314+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,20,20,20,1.0,True,True,True,1,20
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.833,low,0,2026-09-15T23:46:44.163871+00:00,True,0,codex-gpt-6-astra-low-011,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,11,2026-09-15T23:46:37.331033+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.914,low,0,2026-09-15T23:46:46.428788+00:00,True,0,codex-gpt-6-astra-low-018,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,18,2026-09-15T23:46:39.514676+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,12.591,max,0,2026-09-15T23:46:47.316840+00:00,True,0,codex-gpt-6-astra-max-009,0,6,gpt-6-astra,True,True,True,red,❤️,,,,codex,9,2026-09-15T23:46:34.725459+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8,8,1.0,True,True,True,5,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,9.123,medium,0,2026-09-15T23:46:49.520755+00:00,True,0,codex-gpt-6-astra-medium-031,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,31,2026-09-15T23:46:40.398161+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,12.502,xhigh,0,2026-09-15T23:46:50.209893+00:00,True,0,codex-gpt-6-astra-xhigh-037,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,37,2026-09-15T23:46:37.707574+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,9.302,xhigh,0,2026-09-15T23:46:52.196584+00:00,True,0,codex-gpt-6-astra-xhigh-019,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,19,2026-09-15T23:46:42.894328+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,10.63,xhigh,0,2026-09-15T23:46:54.793730+00:00,True,0,codex-gpt-6-astra-xhigh-026,0,6,gpt-6-astra,True,True,True,red,❤️,,,,codex,26,2026-09-15T23:46:44.163910+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8,8,1.0,True,True,True,5,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.89,low,0,2026-09-15T23:46:56.410391+00:00,True,0,codex-gpt-6-astra-low-037,0,6,gpt-6-astra,True,True,True,red,❤️,,,,codex,37,2026-09-15T23:46:49.520792+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,5,50
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,7.009,high,0,2026-09-15T23:46:57.218507+00:00,True,0,codex-gpt-6-astra-high-017,0,4,gpt-6-astra,True,True,True,red,❤️,,,,codex,17,2026-09-15T23:46:50.209981+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,6,6,6,1.0,True,True,True,3,18
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,9.991,xhigh,0,2026-09-15T23:46:57.308220+00:00,True,0,codex-gpt-6-astra-xhigh-029,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,29,2026-09-15T23:46:47.316884+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,12.434,max,0,2026-09-15T23:46:58.862434+00:00,True,0,codex-gpt-6-astra-max-012,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,12,2026-09-15T23:46:46.428827+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.537,medium,0,2026-09-15T23:47:01.330973+00:00,True,0,codex-gpt-6-astra-medium-001,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,1,2026-09-15T23:46:54.793768+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,10.323,max,0,2026-09-15T23:47:02.519805+00:00,True,0,codex-gpt-6-astra-max-024,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,24,2026-09-15T23:46:52.196621+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,7.645,xhigh,0,2026-09-15T23:47:04.953217+00:00,True,0,codex-gpt-6-astra-xhigh-042,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,42,2026-09-15T23:46:57.308259+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,9.675,xhigh,0,2026-09-15T23:47:06.085423+00:00,True,0,codex-gpt-6-astra-xhigh-049,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,49,2026-09-15T23:46:56.410443+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.325,high,0,2026-09-15T23:47:08.844747+00:00,True,0,codex-gpt-6-astra-high-032,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,32,2026-09-15T23:47:02.519844+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,7.875,xhigh,0,2026-09-15T23:47:09.206043+00:00,True,0,codex-gpt-6-astra-xhigh-024,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,24,2026-09-15T23:47:01.331012+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,12.984,max,0,2026-09-15T23:47:10.202622+00:00,True,0,codex-gpt-6-astra-max-010,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,10,2026-09-15T23:46:57.218547+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,7.364,low,0,2026-09-15T23:47:12.317208+00:00,True,0,codex-gpt-6-astra-low-013,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,13,2026-09-15T23:47:04.953260+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.579,high,0,2026-09-15T23:47:12.663992+00:00,True,0,codex-gpt-6-astra-high-020,0,4,gpt-6-astra,True,True,True,red,❤️,,,,codex,20,2026-09-15T23:47:06.085467+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8,8,1.0,True,True,True,3,24
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,17.351,max,0,2026-09-15T23:47:16.213031+00:00,True,0,codex-gpt-6-astra-max-045,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,45,2026-09-15T23:46:58.862475+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,30,30,30,1.0,True,True,True,1,30
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.699,high,0,2026-09-15T23:47:16.901451+00:00,True,0,codex-gpt-6-astra-high-033,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,33,2026-09-15T23:47:10.202658+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,1,10
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,7.901,high,0,2026-09-15T23:47:17.107520+00:00,True,0,codex-gpt-6-astra-high-050,0,4,gpt-6-astra,True,True,True,red,❤️,,,,codex,50,2026-09-15T23:47:09.206091+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8,8,1.0,True,True,True,3,24
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,10.115,medium,0,2026-09-15T23:47:18.959286+00:00,True,0,codex-gpt-6-astra-medium-025,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,25,2026-09-15T23:47:08.844790+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,7.102,medium,0,2026-09-15T23:47:19.419191+00:00,True,0,codex-gpt-6-astra-medium-018,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,18,2026-09-15T23:47:12.317250+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,1,10
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,11.802,ultra,0,2026-09-15T23:47:24.465643+00:00,True,0,codex-gpt-6-astra-ultra-045,0,6,gpt-6-astra,True,True,True,red,❤️,,,,codex,45,2026-09-15T23:47:12.664036+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8,8,1.0,True,True,True,5,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,8.007,medium,0,2026-09-15T23:47:26.966696+00:00,True,0,codex-gpt-6-astra-medium-038,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,38,2026-09-15T23:47:18.959325+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,11.894,xhigh,0,2026-09-15T23:47:28.795202+00:00,True,0,codex-gpt-6-astra-xhigh-004,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,4,2026-09-15T23:47:16.901536+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,13.519,medium,0,2026-09-15T23:47:29.731913+00:00,True,0,codex-gpt-6-astra-medium-041,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,41,2026-09-15T23:47:16.213067+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,16.075,max,0,2026-09-15T23:47:33.182602+00:00,True,0,codex-gpt-6-astra-max-049,0,6,gpt-6-astra,True,True,True,red,❤️,,,,codex,49,2026-09-15T23:47:17.107568+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,5,50
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,10.05,medium,0,2026-09-15T23:47:34.516011+00:00,True,0,codex-gpt-6-astra-medium-042,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,42,2026-09-15T23:47:24.465680+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,1,10
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,15.829,max,0,2026-09-15T23:47:35.248169+00:00,True,0,codex-gpt-6-astra-max-033,0,6,gpt-6-astra,True,True,True,red,❤️,,,,codex,33,2026-09-15T23:47:19.419247+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,5,50
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,13.124,high,0,2026-09-15T23:47:41.919165+00:00,True,0,codex-gpt-6-astra-high-007,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,7,2026-09-15T23:47:28.795251+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
